user_id,full_name,email,phone,signup_date,country,age,status,newsletter_opt_in
CSV00024,Richard Lawson,,577-673-8721x48951,2024-05-29,Australia,,inactive,Yes
CSV00025,Alexander Sanchez,xcarr@example.org,569.436.7632x016,2024-03-03,USA,-1,suspended,Yes
CSV00026,Julie Grant,bryantlaurie@example.net,589.657.9868x72774,2025-11-28,UK,-1,suspended,
CSV00027,Lori Hill,reevesjimmy@example.com,981-822-3623x16658,2025-10-17,Germany,45,inactive,yes
CSV00028,Jean Carrillo,gateskathy@example.com,805.946.6889x3734,2023-09-07,Pakistan,-1,suspended,Yes
CSV00029,Michael Powell,marycalhoun@example.net,,2023-08-01,USA,-1,inactive,
CSV00030,Leslie Alvarado,dayderek@example.com,,2025-02-05,India,21,active,Yes
CSV00031,Garrett Gibson,kathleen64@example.com,,2024-01-16,UK,-1,suspended,No
CSV00032,Alec Ryan,jeffrey10@example.org,530.992.3271,2024-04-02,Germany,,inactive,N
CSV00033,Carol Lawson,stricklandfrank@example.com,590-349-6631,2025-08-05,USA,,pending,N
CSV00034,Michael Trujillo,reedross@example.com,985-406-7165,2025-08-03,USA,-1,active,Yes
CSV00035,Tracie Nelson,umarshall@example.net,253-914-7379x965,2024-10-20,Australia,24,inactive,No
CSV00036,Daniel Salinas,joshua94@example.net,9839136783,2026-01-18,UK,,inactive,Yes
CSV00037,Edward Sullivan,kevinperkins@example.com,+1-685-668-5574,2024-11-03,Germany,24,active,Yes
CSV00038,Emily Newton,jamesrodgers@example.com,001-498-694-1343x5240,2024-03-09,UK,,suspended,No
CSV00039,Edgar Raymond,agarcia@example.net,377-275-2047x1167,2023-08-19,UK,42,suspended,yes
CSV00040,Tiffany Miller,davidduran@example.net,+1-293-386-7749x649,2023-12-14,Pakistan,-1,suspended,No
CSV00041,Daniel Guerrero,johnarnold@example.org,6679974034,2026-05-04,USA,-1,active,yes
CSV00042,Dennis Moody,ronaldstephens@example.net,(642)910-2499,2023-09-17,Germany,51,active,
CSV00043,Melissa Bender,mkim@example.org,(959)940-1399x04902,2023-11-14,Germany,-1,inactive,N
CSV00044,Kevin Walters,ecosta@example.com,(755)612-5674x68071,2026-03-31,UK,-1,active,
CSV00045,Jennifer Robertson,sandovalamy@example.com,6384597703,2024-06-19,Germany,,pending,No
CSV00046,Michael Martinez,jennifercollins@example.org,+1-661-631-7127,2026-04-12,Pakistan,43,pending,N
CSV00047,Mr. Jesus Thomas,sandraromero@example.org,946-458-4044,2024-09-28,USA,,active,Yes
CSV00048,Mr. Phillip Bennett,molly39@example.com,260.457.6627,2024-11-01,UK,40,inactive,yes
CSV00049,Sheila Sawyer,dgarcia@example.org,001-826-721-7459x6158,2025-01-01,Germany,,active,
CSV00050,Katherine Weaver,younggabrielle@example.com,216.711.7240,2025-05-17,UK,34,active,
CSV00051,James Thomas,yknight@example.org,(421)596-9379,2025-11-19,UK,,inactive,yes
CSV00052,David Smith,rsantana@example.net,(617)559-4647,2024-11-17,Australia,21,suspended,yes
CSV00053,Ashley James,bailey40@example.net,(640)490-9743x9533,2026-06-30,UK,,inactive,N
CSV00054,Maria Parker,xjohnson@example.net,(714)656-2328,2025-05-19,USA,25,inactive,
CSV00055,Roger Olson,julie51@example.com,623-368-5160,2025-12-27,Germany,,inactive,Yes
CSV00056,Megan Richards,daniel37@example.org,+1-285-693-1746x120,2024-11-10,Australia,,inactive,No
CSV00057,David Medina,qchavez@example.net,001-786-592-6179x640,2026-06-26,Germany,-1,inactive,No
CSV00058,Savannah Garcia,amy50@example.com,531-371-3900x532,2024-10-28,Australia,,active,No
CSV00059,Laurie Li,markhernandez@example.net,4422284210,2025-12-26,Canada,-1,inactive,yes
CSV00060,Leah Smith,brian68@example.org,001-617-975-8917x8390,2024-07-27,Canada,,inactive,No
CSV00061,Zachary Boone,fparks@example.net,711.859.2124x998,2025-06-05,Pakistan,70,inactive,Yes
CSV00062,Jody Jacobs,mcguiredanny@example.net,+1-883-767-3657x6615,2026-06-25,Pakistan,,pending,
CSV00063,Christian Leblanc,davischristopher@example.com,352-880-9885,2025-06-28,Germany,39,active,yes
CSV00064,Nicole Parrish,schmittcaroline@example.com,798-332-7315,2024-07-22,Pakistan,20,suspended,yes
CSV00065,Renee Bruce,lynchdiane@example.net,302-444-5502x296,2025-10-13,Germany,50,suspended,
CSV00066,Anna Moreno,vbarnes@example.org,,2025-09-20,Canada,-1,inactive,yes
CSV00067,Paula Bradley,wareeric@example.net,6145767976,2024-08-09,Pakistan,,active,yes
CSV00068,Jeffrey Campbell,trose@example.org,669.600.3432,2025-10-05,Pakistan,-1,pending,
CSV00069,Paul Thompson,opatel@example.net,+1-751-860-6071,2024-06-24,Canada,-1,inactive,
CSV00070,Jennifer Wilson,burchgeorge@example.net,651.761.3696x816,2025-03-20,Australia,,pending,No
CSV00071,Angela Schultz,rebeccabailey@example.net,+1-923-912-4329x2127,2024-02-28,India,,suspended,N
CSV00072,Maria Downs,michelle52@example.com,377-644-9058,2025-07-16,Australia,-1,inactive,Yes
CSV00073,Jacob Mitchell,gilbertwilliam@example.com,001-480-279-3597,2024-11-18,Germany,39,inactive,yes
CSV00074,Sara Haas,wagnergerald@example.org,001-777-288-9255x466,2024-11-05,USA,20,suspended,
CSV00075,Andrea Davis,umitchell@example.net,,2025-11-11,Canada,-1,inactive,N
CSV00076,Brittany Miller,sabrinacollins@example.net,001-862-791-4865x281,2026-05-22,India,62,active,N
CSV00077,Trevor Peterson,ilee@example.org,441-888-8059,2023-07-20,India,,active,
CSV00078,Michael Weber,jenniferwilliams@example.com,+1-937-994-7383x47359,2023-12-17,Canada,,pending,N
CSV00079,Kathryn Barnes,lisasolis@example.org,907-458-1814x124,2025-10-21,Germany,-1,suspended,No
CSV00080,Thomas Velasquez,sarah60@example.com,653.961.5305x15220,2025-12-27,Pakistan,66,pending,
CSV00081,Michael West,bullockandrew@example.org,(389)286-1434,2025-08-01,Canada,-1,pending,No
CSV00082,Lisa Brown,bcarlson@example.net,793.324.6095x39621,2024-03-18,Germany,23,inactive,No
CSV00083,Rachel Romero,myerstheodore@example.net,(754)705-1531x9520,2026-05-10,UK,,suspended,yes
CSV00084,Richard Marshall,zwelch@example.org,670-843-0305,2025-12-08,UK,,active,
CSV00085,Dawn Mullins,justinatkins@example.org,,2026-06-19,Pakistan,,suspended,
CSV00086,Caleb Richardson,ypaul@example.com,(877)458-4161,2026-02-03,Germany,,inactive,yes
CSV00087,Bobby Guerrero,sean62@example.net,,2025-02-17,Pakistan,-1,suspended,No
CSV00088,Nicholas Buck,yhill@example.org,265-482-0297,2024-10-29,Germany,52,suspended,
CSV00089,Holly Reyes,jacobserika@example.com,,2023-09-12,India,45,suspended,No
CSV00090,Laura Moreno,redwards@example.org,602-978-6814,2024-08-11,UK,,pending,N
CSV00091,Melissa Lutz,davidfarrell@example.com,(671)455-1884,2024-02-21,Canada,34,suspended,Yes
CSV00092,Marcia Leon,davidharris@example.org,,2025-08-19,Pakistan,-1,active,Yes
CSV00093,Isaac Armstrong MD,cherylmiller@example.com,(778)466-9125x1778,2024-03-16,UK,-1,inactive,No
CSV00094,Margaret White,ryanbartlett@example.org,682-342-2535,2026-02-17,Germany,,pending,yes
CSV00095,Krista Martinez,christina18@example.net,(299)222-9959,2024-03-31,India,63,inactive,yes
CSV00096,Patricia Baker,katiebutler@example.net,,2023-09-28,Pakistan,-1,suspended,N
CSV00097,Kimberly May,timothy64@example.com,402-776-7735,2023-08-03,Germany,-1,inactive,Yes
CSV00098,William Reed,xanderson@example.net,+1-415-337-1473,2026-01-30,India,56,active,yes
CSV00099,Sharon Barnes,lisapeck@example.net,532-578-7747x01687,2023-08-25,USA,-1,pending,Yes
CSV00100,Douglas Harper,amitchell@example.org,(624)356-5060x98358,2025-03-31,USA,,suspended,No
CSV00101,Joshua Bryan,andersoncolin@example.com,985-923-9868x00025,2024-08-27,India,-1,suspended,N
CSV00102,Brenda Velazquez,francisco94@example.net,688-287-9470x55169,2023-12-11,Pakistan,38,active,yes
CSV00103,Matthew Stanton,jennifersilva@example.org,896.523.0913x07562,2025-04-15,Canada,-1,suspended,yes
CSV00104,Tami Salas,,001-702-783-8578x6527,2024-09-22,UK,49,pending,yes
CSV00105,Melanie Lara,chelsea33@example.com,+1-743-644-3757,2025-07-10,India,-1,active,
CSV00106,Kimberly Huang,xcardenas@example.org,,2024-05-11,India,,inactive,N
CSV00107,Miguel Reed,vdouglas@example.com,538.548.4219,2024-05-14,Australia,19,pending,No
CSV00108,Courtney Hall,gutierrezjennifer@example.org,+1-520-282-6773x45401,2023-08-25,India,,suspended,
CSV00109,Stephen Thompson,osbornrandy@example.com,(640)904-9915,2026-03-27,India,,pending,N
CSV00110,Kathleen Mays,znelson@example.org,727-342-0549x32966,2026-06-19,USA,64,pending,Yes
CSV00111,William Woods,adamreyes@example.com,001-445-849-9045x30174,2024-09-12,India,29,inactive,N
CSV00112,Stacy Carrillo,fowlershelia@example.com,+1-533-527-2795x687,2025-07-21,Australia,-1,pending,Yes
CSV00113,Rachel Fox,christian91@example.org,+1-983-398-2258,2025-07-15,Pakistan,,active,
CSV00114,Katherine Nolan,dstokes@example.org,,2025-07-15,USA,,inactive,N
CSV00115,Anthony Ford,jennifer64@example.org,,2025-01-13,Pakistan,,suspended,yes
CSV00116,Amber Cooper,weaverbrian@example.org,,2025-09-25,Australia,48,active,N
CSV00117,Dustin White,katiegood@example.net,(456)576-6182x51286,2026-06-15,India,21,inactive,
CSV00118,Veronica Ford,opatel@example.org,,2025-12-31,UK,-1,suspended,
CSV00119,Colin Golden,johnsondonna@example.net,001-903-531-1907x90306,2024-11-16,Australia,,suspended,N
CSV00120,Patty Taylor,jim95@example.net,+1-453-842-8364x408,2025-02-11,Canada,-1,active,
CSV00121,Gregory Schneider,ufloyd@example.net,,2025-03-01,Australia,-1,inactive,yes
CSV00122,James Webster,oallen@example.com,001-627-508-6688x263,2024-09-29,UK,53,inactive,Yes
CSV00123,Jerry Watson,brettbennett@example.net,+1-501-539-8373x540,2024-06-26,Canada,36,inactive,yes
CSV00124,Zachary Mendoza,heatherpadilla@example.com,685.746.7854,2026-05-20,Canada,-1,inactive,yes
CSV00125,Brett Zavala MD,robin55@example.com,8936204899,2025-01-13,India,69,suspended,Yes
CSV00126,James Whitaker,rpierce@example.com,277-272-5228x728,2023-12-15,Pakistan,70,active,Yes
CSV00127,Robert Williams,gutierrezmegan@example.org,920-938-7509,2026-01-05,India,-1,pending,N
CSV00128,Jennifer Smith,amanda40@example.net,001-762-611-8233x984,2023-07-18,India,,suspended,N
CSV00129,Tyler Stevens,veronicaperez@example.net,,2025-11-18,Canada,,pending,Yes
CSV00130,William Santos,davisnicholas@example.net,500.921.7659x1803,2025-12-24,Australia,-1,active,yes
CSV00131,Melinda Ramirez,whitemelissa@example.org,892.761.4293,2024-04-23,UK,-1,suspended,yes
CSV00132,Rachel Norris,masonterri@example.org,763-215-9996,2024-08-24,India,,active,N
CSV00133,Joanne Perez,rreynolds@example.net,+1-761-394-3114x26265,2025-05-25,India,24,pending,N
CSV00134,Jill Juarez,andersonjacob@example.com,+1-388-761-0158,2023-10-09,Canada,-1,active,N
CSV00135,Jason Maxwell,ashleyjackson@example.com,(824)644-7212,2026-02-01,USA,,active,
CSV00136,Mr. David Wright,mwheeler@example.com,,2024-10-04,Germany,-1,suspended,N
CSV00137,Travis Cook,vbrock@example.com,969-524-5937x52654,2023-10-26,Germany,,suspended,N
CSV00138,Richard Diaz,brittanygardner@example.net,001-480-873-7416x72434,2024-06-22,Germany,69,inactive,yes
CSV00139,William Mendoza,sferguson@example.com,+1-405-289-1135,2025-11-11,USA,32,suspended,Yes
CSV00140,Maria Rasmussen,tammy61@example.org,943-788-8993,2025-03-09,India,-1,pending,N
CSV00141,Leah Mason,whitney71@example.com,(911)925-4573x87571,2024-09-01,UK,-1,inactive,N
CSV00142,Robert Wilson,deborah23@example.net,(482)458-6736,2024-06-14,India,26,pending,N
CSV00143,Allen Mendez,shannonjordan@example.org,001-933-341-9182x553,2025-06-01,Pakistan,70,pending,yes
CSV00144,Kelsey Fowler,lcarr@example.org,(557)692-4991x251,2024-04-13,India,49,suspended,
CSV00145,Charles Price,baileyhenderson@example.com,+1-782-282-7422x5790,2023-11-06,Australia,,suspended,yes
CSV00146,James Hoffman,fortiz@example.com,001-677-421-9034x043,2024-12-13,UK,,inactive,N
CSV00147,Patricia Simpson,armstrongjoseph@example.net,(680)778-3613x407,2025-11-02,India,,suspended,No
CSV00148,Sean Wilson,jasonrojas@example.net,,2026-01-30,Germany,,active,N
CSV00149,Mackenzie Martin,kristenli@example.org,001-658-649-8254,2024-07-19,USA,64,suspended,No
CSV00150,Stephanie Ochoa,sydneyfloyd@example.org,822-832-5367x294,2026-05-09,Pakistan,-1,suspended,Yes
CSV00151,Sheryl Davis,heather57@example.com,790-617-5186x36374,2024-11-07,Australia,,pending,N
CSV00152,Kylie Washington,patricia00@example.org,,2024-07-05,USA,-1,pending,No
CSV00153,Alexis Noble,scottsmith@example.com,724.424.1541,2025-05-17,USA,-1,active,N
CSV00154,Molly Fischer,trios@example.org,2372129387,2023-08-26,USA,,active,yes
CSV00155,Virginia Henderson,timperez@example.org,001-211-455-4262x2189,2025-08-01,UK,,inactive,No
CSV00156,Lori Hernandez,cjensen@example.org,412-519-6565,2024-10-25,Canada,-1,inactive,N
CSV00157,Juan Greene,kimberly04@example.org,398.236.4037x61379,2024-04-29,Canada,,suspended,yes
CSV00158,Bonnie Valencia,rdiaz@example.org,001-871-809-1043x00684,2026-06-16,Canada,-1,inactive,Yes
CSV00159,Joshua Jensen,christopher18@example.org,(285)569-1463,2025-08-08,Germany,-1,suspended,yes
CSV00160,Jesse Lynch,elizabeth21@example.org,001-620-327-5884x252,2023-10-03,Canada,48,inactive,N
CSV00161,Robert Nelson,bakertheresa@example.net,777-485-0792,2025-10-23,India,36,suspended,yes
CSV00162,Kenneth Sharp,,880.400.3075,2024-04-05,Australia,65,suspended,yes
CSV00163,Amanda Pratt,pwalker@example.com,001-854-319-5180x2380,2024-01-13,Australia,40,inactive,
CSV00164,Patricia Collins,tranalan@example.org,294-893-7597x3832,2026-02-16,Australia,-1,inactive,Yes
CSV00165,Makayla Steele,tapiaaaron@example.net,(541)838-3670x2410,2023-07-27,Pakistan,,active,
CSV00166,William Miller,wagnerdana@example.com,799-806-2344,2025-08-07,Pakistan,-1,suspended,No
CSV00167,Emily Nelson,hardingderek@example.net,721-527-7561,2025-08-06,Pakistan,-1,pending,No
CSV00168,Samuel Davis,margaret90@example.org,521-335-6804x42067,2024-11-07,Canada,,pending,Yes
CSV00169,Brenda Smith,davidcolon@example.com,,2024-11-18,Australia,-1,suspended,
CSV00170,Angela Willis,johnsoncaleb@example.net,921.251.0702x966,2025-07-22,USA,-1,active,N
CSV00171,Hector Odonnell,joshua20@example.net,+1-493-847-6870x146,2024-08-23,Pakistan,,pending,Yes
CSV00172,Kelly Mccoy,mayokimberly@example.com,587.259.8564x2059,2024-02-04,Germany,,inactive,Yes
CSV00173,Amy Frey,katie32@example.org,434.480.3965,2026-03-08,India,-1,suspended,Yes
CSV00174,Oscar Howard,warnermichael@example.net,001-229-337-8427,2024-03-16,Pakistan,49,active,No
CSV00175,Alicia Woods,samantha32@example.com,001-725-800-2921x851,2023-08-31,Canada,-1,suspended,
CSV00176,Frank Daugherty,fconner@example.net,828-295-3926x44220,2025-04-03,Canada,59,suspended,
CSV00177,Robert Carr,zunigadonald@example.net,635-552-1570,2024-01-16,USA,,inactive,N
CSV00178,David Rodriguez,williamssamuel@example.com,(567)465-8617,2024-03-30,Pakistan,-1,pending,
CSV00179,Amanda Smith,stephanie15@example.org,(821)481-5997x0629,2024-11-06,USA,,inactive,Yes
CSV00180,William Ortiz,donna43@example.org,8693872050,2023-08-28,USA,60,active,Yes
CSV00181,Lindsay Gonzalez,clarkdanielle@example.org,714.467.7418x6256,2024-05-18,UK,-1,inactive,Yes
CSV00182,John Perez,anne21@example.org,+1-558-969-3806x86879,2024-10-31,Germany,31,pending,No
CSV00183,Scott Johnson,davidtodd@example.org,(433)620-6163,2024-05-23,Pakistan,27,pending,No
CSV00184,Renee Miller,rarnold@example.net,309.398.6162x299,2024-06-15,UK,,inactive,
CSV00185,Dustin Nichols,natalie46@example.net,899.770.2462x9960,2025-03-08,USA,-1,suspended,
CSV00186,John Adams,andrew44@example.com,,2025-07-26,Canada,,active,N
CSV00187,Melinda Compton,dennismccann@example.com,001-454-369-1373x67850,2026-01-09,USA,-1,pending,N
CSV00188,Brandy York,thompsonnancy@example.org,,2024-06-05,Canada,,active,N
CSV00189,Jesus Hull,joshuacolon@example.net,(710)435-7972x7985,2026-01-03,USA,-1,inactive,Yes
CSV00190,Ronald Davis,hughesfrank@example.net,001-233-533-4680x07229,2026-01-04,Germany,-1,pending,N
CSV00191,Elizabeth Rasmussen,rodney65@example.com,637-648-9691x085,2024-04-02,Canada,-1,suspended,Yes
CSV00192,Mr. Donald Nguyen,jose43@example.org,230.596.5207x44666,2025-07-20,India,-1,inactive,N
CSV00193,Melissa Little,qknox@example.com,542.782.4172x48251,2024-07-11,Pakistan,,suspended,N
CSV00194,Jennifer Eaton,jorge47@example.org,809.299.1738x1684,2024-03-01,Pakistan,,pending,No
CSV00195,Willie Cooper,tthomas@example.org,001-917-352-5007x43292,2026-02-09,USA,23,suspended,Yes
CSV00196,Jeffrey Patterson,creyes@example.net,550.758.3003,2023-11-19,UK,53,pending,Yes
CSV00197,Jonathan Torres,colonkenneth@example.com,889.285.6257x532,2024-06-07,Australia,-1,active,yes
CSV00198,Bonnie Gross,daviddawson@example.org,(848)390-9010x0167,2024-03-07,Germany,50,inactive,N
CSV00199,Christian Neal,turnerdorothy@example.net,549.592.6189x14117,2025-02-19,Australia,,active,yes
CSV00200,Valerie Howard,cphillips@example.net,337.353.0011x9721,2025-10-30,Australia,-1,active,
